Sentence,Entities
WHO announced a new Galaxy S22 on January 1st.,"[(0, 3, 'ORG'), (34, 45, 'DATE'), (20, 30, 'PRODUCT')]"
Amazon announced a new Galaxy S22 on August 15.,"[(0, 6, 'ORG'), (37, 46, 'DATE'), (23, 33, 'PRODUCT')]"
Sarah wrote about Starry Night in Mandarin.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 42, 'LANGUAGE')]"
Michael wrote about Guernica in Mandarin.,"[(0, 7, 'PER'), (20, 28, 'WORK_OF_ART'), (32, 40, 'LANGUAGE')]"
Sophia wrote about Mona Lisa in Mandarin.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 40, 'LANGUAGE')]"
Olivia wrote about Starry Night in English.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 42, 'LANGUAGE')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
The Sydney Opera House is a famous monument in New York.,"[(47, 55, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
"Olivia donated ₹50,000 to UN.","[(0, 6, 'PER'), (26, 28, 'ORG'), (15, 22, 'MONEY')]"
MacBook Pro was launched by WHO at the Coachella.,"[(28, 31, 'ORG'), (0, 11, 'PRODUCT'), (39, 48, 'EVENT')]"
PlayStation was launched by Tesla at the Comic-Con.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 50, 'EVENT')]"
The Eiffel Tower is a famous monument in Sydney.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
NASA follows the HIPAA strictly.,"[(0, 4, 'ORG'), (17, 22, 'LAW')]"
Alice donated $100 to Google.,"[(0, 5, 'PER'), (22, 28, 'ORG'), (14, 18, 'MONEY')]"
Microsoft follows the Copyright Law strictly.,"[(0, 9, 'ORG'), (22, 35, 'LAW')]"
WHO follows the HIPAA strictly.,"[(0, 3, 'ORG'), (16, 21, 'LAW')]"
Mona Lisa is displayed at a museum in New York.,"[(38, 46, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Netflix raised $5 million in June 5.,"[(0, 7, 'ORG'), (29, 35, 'DATE'), (15, 25, 'MONEY')]"
"Emma donated ₹50,000 to Tesla.","[(0, 4, 'PER'), (24, 29, 'ORG'), (13, 20, 'MONEY')]"
PlayStation was launched by Microsoft at the Olympics.,"[(28, 37, 'ORG'), (0, 11, 'PRODUCT'), (45, 53, 'EVENT')]"
Tesla announced a new PlayStation on 2023.,"[(0, 5, 'ORG'), (37, 41, 'DATE'), (22, 33, 'PRODUCT')]"
John is an Japanese citizen working in Berlin.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Sophia donated €200 to UNICEF.,"[(0, 6, 'PER'), (23, 29, 'ORG'), (23, 25, 'ORG'), (15, 19, 'MONEY')]"
Apple announced a new MacBook Pro on April.,"[(0, 5, 'ORG'), (37, 42, 'DATE'), (22, 33, 'PRODUCT')]"
Apple follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
Starry Night is displayed at a museum in Toronto.,"[(41, 48, 'LOC'), (0, 12, 'WORK_OF_ART')]"
"Microsoft raised ₹50,000 in Monday.","[(0, 9, 'ORG'), (28, 34, 'DATE'), (17, 24, 'MONEY')]"
"Sophia donated ₹50,000 to NASA.","[(0, 6, 'PER'), (26, 30, 'ORG'), (15, 22, 'MONEY')]"
Pixel 8 was launched by Google at the World Cup.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
Sarah wrote about Guernica in Spanish.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 37, 'LANGUAGE')]"
Google follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
WHO raised €1 billion in August 15.,"[(0, 3, 'ORG'), (25, 34, 'DATE'), (11, 21, 'MONEY')]"
Sophia wrote about Guernica in Mandarin.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 39, 'LANGUAGE')]"
Netflix follows the GDPR strictly.,"[(0, 7, 'ORG'), (20, 24, 'LAW')]"
Michael wrote about The Last Supper in French.,"[(0, 7, 'PER'), (20, 35, 'WORK_OF_ART'), (39, 45, 'LANGUAGE'), (39, 45, 'NATIONALITY')]"
Alice is an Canadian citizen working in Sydney.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
David wrote about Mona Lisa in Spanish.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
Netflix follows the GDPR strictly.,"[(0, 7, 'ORG'), (20, 24, 'LAW')]"
Robert is an French citizen working in Mumbai.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
Apple follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Pixel 8 was launched by Amazon at the Olympics.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 46, 'EVENT')]"
Robert visited Berlin during the World Cup.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 42, 'EVENT')]"
Google raised $100 in December 2024.,"[(0, 6, 'ORG'), (22, 35, 'DATE'), (14, 18, 'MONEY')]"
Tesla raised $100 in August 15.,"[(0, 5, 'ORG'), (21, 30, 'DATE'), (13, 17, 'MONEY')]"
WHO announced a new PlayStation on December 2024.,"[(0, 3, 'ORG'), (35, 48, 'DATE'), (20, 31, 'PRODUCT')]"
The Burj Khalifa is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
UNICEF follows the HIPAA strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 24, 'LAW')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Google follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
Emma visited Cairo during the Coachella.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
John is an Canadian citizen working in Rome.,"[(0, 4, 'PER'), (39, 43, 'LOC'), (11, 19, 'NATIONALITY')]"
Starry Night is displayed at a museum in Rome.,"[(41, 45, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Amazon announced a new Pixel 8 on January 1st.,"[(0, 6, 'ORG'), (34, 45, 'DATE'), (23, 30, 'PRODUCT')]"
WHO follows the GDPR strictly.,"[(0, 3, 'ORG'), (16, 20, 'LAW')]"
Microsoft announced a new iPhone on Monday.,"[(0, 9, 'ORG'), (36, 42, 'DATE'), (26, 32, 'PRODUCT')]"
Alice is an Canadian citizen working in Sydney.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
The Empire State Building is a famous monument in Tokyo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
The Empire State Building is a famous monument in Paris.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
David is an Canadian citizen working in Mumbai.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
Emma wrote about Guernica in French.,"[(0, 4, 'PER'), (17, 25, 'WORK_OF_ART'), (29, 35, 'LANGUAGE'), (29, 35, 'NATIONALITY')]"
Starry Night is displayed at a museum in Mumbai.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
WHO announced a new iPhone on 2023.,"[(0, 3, 'ORG'), (30, 34, 'DATE'), (20, 26, 'PRODUCT')]"
Robert donated €200 to WHO.,"[(0, 6, 'PER'), (23, 26, 'ORG'), (15, 19, 'MONEY')]"
John visited Berlin during the Comic-Con.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
Alice donated $5 million to Netflix.,"[(0, 5, 'PER'), (28, 35, 'ORG'), (14, 24, 'MONEY')]"
MacBook Pro was launched by Amazon at the Comic-Con.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
David donated €1 billion to Amazon.,"[(0, 5, 'PER'), (28, 34, 'ORG'), (14, 24, 'MONEY')]"
Alice wrote about The Last Supper in Mandarin.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 45, 'LANGUAGE')]"
Microsoft announced a new Pixel 8 on 2023.,"[(0, 9, 'ORG'), (37, 41, 'DATE'), (26, 33, 'PRODUCT')]"
The Last Supper is displayed at a museum in Paris.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Apple announced a new Surface Pro on August 15.,"[(0, 5, 'ORG'), (37, 46, 'DATE'), (22, 33, 'PRODUCT')]"
David wrote about Mona Lisa in English.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
Microsoft announced a new Pixel 8 on January 1st.,"[(0, 9, 'ORG'), (37, 48, 'DATE'), (26, 33, 'PRODUCT')]"
The Sydney Opera House is a famous monument in Paris.,"[(47, 52, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Surface Pro was launched by UN at the Comic-Con.,"[(28, 30, 'ORG'), (0, 11, 'PRODUCT'), (38, 47, 'EVENT')]"
Galaxy S22 was launched by UN at the Comic-Con.,"[(27, 29, 'ORG'), (0, 10, 'PRODUCT'), (37, 46, 'EVENT')]"
Liam is an Japanese citizen working in Paris.,"[(0, 4, 'PER'), (39, 44, 'LOC'), (11, 19, 'NATIONALITY')]"
Sarah wrote about The Last Supper in French.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 43, 'LANGUAGE'), (37, 43, 'NATIONALITY')]"
Amazon announced a new Pixel 8 on December 2024.,"[(0, 6, 'ORG'), (34, 47, 'DATE'), (23, 30, 'PRODUCT')]"
Kindle was launched by UN at the World Cup.,"[(23, 25, 'ORG'), (0, 6, 'PRODUCT'), (33, 42, 'EVENT')]"
Netflix follows the GDPR strictly.,"[(0, 7, 'ORG'), (20, 24, 'LAW')]"
Microsoft raised $5 million in April.,"[(0, 9, 'ORG'), (31, 36, 'DATE'), (17, 27, 'MONEY')]"
Liam donated $5 million to UN.,"[(0, 4, 'PER'), (27, 29, 'ORG'), (13, 23, 'MONEY')]"
Emma donated €200 to UN.,"[(0, 4, 'PER'), (21, 23, 'ORG'), (13, 17, 'MONEY')]"
UNICEF follows the GDPR strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 23, 'LAW')]"
Robert visited Berlin during the Comic-Con.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 42, 'EVENT')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
WHO follows the Copyright Law strictly.,"[(0, 3, 'ORG'), (16, 29, 'LAW')]"
Robert visited Sydney during the Super Bowl.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 43, 'EVENT')]"
The Empire State Building is a famous monument in Sydney.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
"Michael donated ₹50,000 to NASA.","[(0, 7, 'PER'), (27, 31, 'ORG'), (16, 23, 'MONEY')]"
UN raised $5 million in Monday.,"[(0, 2, 'ORG'), (24, 30, 'DATE'), (10, 20, 'MONEY')]"
MacBook Pro was launched by UNICEF at the Olympics.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 50, 'EVENT')]"
The Burj Khalifa is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Olivia visited Rome during the Super Bowl.,"[(0, 6, 'PER'), (15, 19, 'LOC'), (31, 41, 'EVENT')]"
Microsoft follows the Copyright Law strictly.,"[(0, 9, 'ORG'), (22, 35, 'LAW')]"
David wrote about Guernica in Mandarin.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 38, 'LANGUAGE')]"
Starry Night is displayed at a museum in Berlin.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Sophia donated €200 to Apple.,"[(0, 6, 'PER'), (23, 28, 'ORG'), (15, 19, 'MONEY')]"
Michael is an Indian citizen working in Mumbai.,"[(0, 7, 'PER'), (40, 46, 'LOC'), (14, 20, 'NATIONALITY')]"
UNICEF announced a new Galaxy S22 on January 1st.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (37, 48, 'DATE'), (23, 33, 'PRODUCT')]"
Apple raised €200 in June 5.,"[(0, 5, 'ORG'), (21, 27, 'DATE'), (13, 17, 'MONEY')]"
Michael is an Japanese citizen working in London.,"[(0, 7, 'PER'), (42, 48, 'LOC'), (14, 22, 'NATIONALITY')]"
Olivia visited Rome during the Super Bowl.,"[(0, 6, 'PER'), (15, 19, 'LOC'), (31, 41, 'EVENT')]"
Apple follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Pixel 8 was launched by Amazon at the World Cup.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
John wrote about Guernica in Hindi.,"[(0, 4, 'PER'), (17, 25, 'WORK_OF_ART'), (29, 34, 'LANGUAGE')]"
Liam donated €200 to Tesla.,"[(0, 4, 'PER'), (21, 26, 'ORG'), (13, 17, 'MONEY')]"
UN follows the HIPAA strictly.,"[(0, 2, 'ORG'), (15, 20, 'LAW')]"
"NASA raised ₹50,000 in April.","[(0, 4, 'ORG'), (23, 28, 'DATE'), (12, 19, 'MONEY')]"
Google follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
Emma wrote about Starry Night in Spanish.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 40, 'LANGUAGE')]"
Pixel 8 was launched by NASA at the Olympics.,"[(24, 28, 'ORG'), (0, 7, 'PRODUCT'), (36, 44, 'EVENT')]"
NASA follows the GDPR strictly.,"[(0, 4, 'ORG'), (17, 21, 'LAW')]"
Apple follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Tesla follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
PlayStation was launched by UNICEF at the Coachella.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Sophia is an Canadian citizen working in Sydney.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in Berlin.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
UNICEF follows the GDPR strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 23, 'LAW')]"
John donated €1 billion to Tesla.,"[(0, 4, 'PER'), (27, 32, 'ORG'), (13, 23, 'MONEY')]"
Alice wrote about Guernica in French.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Emma visited Toronto during the Coachella.,"[(0, 4, 'PER'), (13, 20, 'LOC'), (32, 41, 'EVENT')]"
Microsoft announced a new Pixel 8 on December 2024.,"[(0, 9, 'ORG'), (37, 50, 'DATE'), (26, 33, 'PRODUCT')]"
Microsoft announced a new PlayStation on April.,"[(0, 9, 'ORG'), (41, 46, 'DATE'), (26, 37, 'PRODUCT')]"
Apple follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
Starry Night is displayed at a museum in London.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Robert wrote about Mona Lisa in Mandarin.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 40, 'LANGUAGE')]"
Alice donated $100 to Google.,"[(0, 5, 'PER'), (22, 28, 'ORG'), (14, 18, 'MONEY')]"
Apple follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
The Eiffel Tower is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Michael visited Berlin during the Olympics.,"[(0, 7, 'PER'), (16, 22, 'LOC'), (34, 42, 'EVENT')]"
Robert wrote about The Last Supper in Hindi.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 43, 'LANGUAGE')]"
Surface Pro was launched by Google at the Comic-Con.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
UN follows the GDPR strictly.,"[(0, 2, 'ORG'), (15, 19, 'LAW')]"
Google announced a new Surface Pro on August 15.,"[(0, 6, 'ORG'), (38, 47, 'DATE'), (23, 34, 'PRODUCT')]"
Netflix follows the HIPAA strictly.,"[(0, 7, 'ORG'), (20, 25, 'LAW')]"
Sophia wrote about Guernica in Spanish.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
UN announced a new PlayStation on August 15.,"[(0, 2, 'ORG'), (34, 43, 'DATE'), (19, 30, 'PRODUCT')]"
Google announced a new PlayStation on June 5.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
The Eiffel Tower is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
David visited New York during the Coachella.,"[(0, 5, 'PER'), (14, 22, 'LOC'), (34, 43, 'EVENT')]"
WHO announced a new Surface Pro on June 5.,"[(0, 3, 'ORG'), (35, 41, 'DATE'), (20, 31, 'PRODUCT')]"
UNICEF announced a new iPhone on April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (33, 38, 'DATE'), (23, 29, 'PRODUCT')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
PlayStation was launched by Netflix at the Super Bowl.,"[(28, 35, 'ORG'), (0, 11, 'PRODUCT'), (43, 53, 'EVENT')]"
"Sophia donated ₹50,000 to Apple.","[(0, 6, 'PER'), (26, 31, 'ORG'), (15, 22, 'MONEY')]"
Emma visited New York during the Coachella.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
The Burj Khalifa is a famous monument in Sydney.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
The Sydney Opera House is a famous monument in Paris.,"[(47, 52, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
Liam is an Canadian citizen working in New York.,"[(0, 4, 'PER'), (39, 47, 'LOC'), (11, 19, 'NATIONALITY')]"
Alice visited Sydney during the Olympics.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 40, 'EVENT')]"
Sarah donated $100 to Amazon.,"[(0, 5, 'PER'), (22, 28, 'ORG'), (14, 18, 'MONEY')]"
John visited Toronto during the Coachella.,"[(0, 4, 'PER'), (13, 20, 'LOC'), (32, 41, 'EVENT')]"
Apple raised €200 in June 5.,"[(0, 5, 'ORG'), (21, 27, 'DATE'), (13, 17, 'MONEY')]"
UN follows the Copyright Law strictly.,"[(0, 2, 'ORG'), (15, 28, 'LAW')]"
Sarah donated €1 billion to Tesla.,"[(0, 5, 'PER'), (28, 33, 'ORG'), (14, 24, 'MONEY')]"
Sarah wrote about Guernica in French.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Kindle was launched by NASA at the Super Bowl.,"[(23, 27, 'ORG'), (0, 6, 'PRODUCT'), (35, 45, 'EVENT')]"
UN raised €1 billion in August 15.,"[(0, 2, 'ORG'), (24, 33, 'DATE'), (10, 20, 'MONEY')]"
Alice visited Mumbai during the Comic-Con.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
"Alice donated ₹50,000 to Apple.","[(0, 5, 'PER'), (25, 30, 'ORG'), (14, 21, 'MONEY')]"
Google follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
Sarah is an French citizen working in Berlin.,"[(0, 5, 'PER'), (38, 44, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
WHO follows the Copyright Law strictly.,"[(0, 3, 'ORG'), (16, 29, 'LAW')]"
Sophia is an Japanese citizen working in New York.,"[(0, 6, 'PER'), (41, 49, 'LOC'), (13, 21, 'NATIONALITY')]"
Starry Night is displayed at a museum in Sydney.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
The Burj Khalifa is a famous monument in Sydney.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
UNICEF raised €1 billion in August 15.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (28, 37, 'DATE'), (14, 24, 'MONEY')]"
UNICEF announced a new PlayStation on Monday.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
The Sydney Opera House is a famous monument in Sydney.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
The Burj Khalifa is a famous monument in New York.,"[(41, 49, 'LOC'), (4, 16, 'FACILITY')]"
Michael donated $100 to Apple.,"[(0, 7, 'PER'), (24, 29, 'ORG'), (16, 20, 'MONEY')]"
Robert is an French citizen working in Tokyo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
David visited New York during the Comic-Con.,"[(0, 5, 'PER'), (14, 22, 'LOC'), (34, 43, 'EVENT')]"
David donated $100 to Netflix.,"[(0, 5, 'PER'), (22, 29, 'ORG'), (14, 18, 'MONEY')]"
Alice donated €200 to Netflix.,"[(0, 5, 'PER'), (22, 29, 'ORG'), (14, 18, 'MONEY')]"
David wrote about Starry Night in English.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 41, 'LANGUAGE')]"
Michael visited Berlin during the Olympics.,"[(0, 7, 'PER'), (16, 22, 'LOC'), (34, 42, 'EVENT')]"
Olivia is an Japanese citizen working in London.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
Alice wrote about Mona Lisa in French.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 37, 'LANGUAGE'), (31, 37, 'NATIONALITY')]"
"Olivia donated ₹50,000 to UN.","[(0, 6, 'PER'), (26, 28, 'ORG'), (15, 22, 'MONEY')]"
Olivia donated $100 to Tesla.,"[(0, 6, 'PER'), (23, 28, 'ORG'), (15, 19, 'MONEY')]"
UN announced a new Pixel 8 on April.,"[(0, 2, 'ORG'), (30, 35, 'DATE'), (19, 26, 'PRODUCT')]"
Alice donated $5 million to Tesla.,"[(0, 5, 'PER'), (28, 33, 'ORG'), (14, 24, 'MONEY')]"
MacBook Pro was launched by NASA at the Comic-Con.,"[(28, 32, 'ORG'), (0, 11, 'PRODUCT'), (40, 49, 'EVENT')]"
Sophia visited Toronto during the Comic-Con.,"[(0, 6, 'PER'), (15, 22, 'LOC'), (34, 43, 'EVENT')]"
Apple raised $5 million in April.,"[(0, 5, 'ORG'), (27, 32, 'DATE'), (13, 23, 'MONEY')]"
The Eiffel Tower is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
Starry Night is displayed at a museum in Tokyo.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Microsoft follows the GDPR strictly.,"[(0, 9, 'ORG'), (22, 26, 'LAW')]"
Tesla follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
NASA announced a new Surface Pro on Monday.,"[(0, 4, 'ORG'), (36, 42, 'DATE'), (21, 32, 'PRODUCT')]"
Amazon announced a new PlayStation on June 5.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
Microsoft announced a new iPhone on January 1st.,"[(0, 9, 'ORG'), (36, 47, 'DATE'), (26, 32, 'PRODUCT')]"
Tesla announced a new Surface Pro on April.,"[(0, 5, 'ORG'), (37, 42, 'DATE'), (22, 33, 'PRODUCT')]"
Liam is an American citizen working in Cairo.,"[(0, 4, 'PER'), (39, 44, 'LOC'), (11, 19, 'NATIONALITY')]"
Netflix announced a new PlayStation on Monday.,"[(0, 7, 'ORG'), (39, 45, 'DATE'), (24, 35, 'PRODUCT')]"
Alice wrote about The Last Supper in Mandarin.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 45, 'LANGUAGE')]"
UNICEF raised €1 billion in August 15.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (28, 37, 'DATE'), (14, 24, 'MONEY')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
NASA follows the GDPR strictly.,"[(0, 4, 'ORG'), (17, 21, 'LAW')]"
Google announced a new iPhone on 2023.,"[(0, 6, 'ORG'), (33, 37, 'DATE'), (23, 29, 'PRODUCT')]"
PlayStation was launched by Amazon at the World Cup.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
"Olivia donated ₹50,000 to Tesla.","[(0, 6, 'PER'), (26, 31, 'ORG'), (15, 22, 'MONEY')]"
Sarah donated $100 to Tesla.,"[(0, 5, 'PER'), (22, 27, 'ORG'), (14, 18, 'MONEY')]"
Microsoft follows the Patent Act strictly.,"[(0, 9, 'ORG'), (22, 32, 'LAW')]"
Emma wrote about Mona Lisa in French.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Tesla raised $100 in January 1st.,"[(0, 5, 'ORG'), (21, 32, 'DATE'), (13, 17, 'MONEY')]"
Pixel 8 was launched by Apple at the Comic-Con.,"[(24, 29, 'ORG'), (0, 7, 'PRODUCT'), (37, 46, 'EVENT')]"
Apple announced a new Surface Pro on December 2024.,"[(0, 5, 'ORG'), (37, 50, 'DATE'), (22, 33, 'PRODUCT')]"
Microsoft announced a new Pixel 8 on August 15.,"[(0, 9, 'ORG'), (37, 46, 'DATE'), (26, 33, 'PRODUCT')]"
Surface Pro was launched by Tesla at the Olympics.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 49, 'EVENT')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
David is an French citizen working in London.,"[(0, 5, 'PER'), (38, 44, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
Alice visited Sydney during the Super Bowl.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 42, 'EVENT')]"
John donated €1 billion to WHO.,"[(0, 4, 'PER'), (27, 30, 'ORG'), (13, 23, 'MONEY')]"
Liam visited Cairo during the Comic-Con.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
Amazon follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
Galaxy S22 was launched by Amazon at the Super Bowl.,"[(27, 33, 'ORG'), (0, 10, 'PRODUCT'), (41, 51, 'EVENT')]"
Microsoft announced a new MacBook Pro on June 5.,"[(0, 9, 'ORG'), (41, 47, 'DATE'), (26, 37, 'PRODUCT')]"
